"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Zachary Bolduc                                B","F","LGN","MTL","24","$0.5","78","30","0.4"
"Matthew Wood                                A","F","VPP","NSH","22","$0.5","71","30","0.4"
"Calum Ritchie                                A","F","JHN","NYI","22","$0.5","65","30","0.5"
"Artem Zub                                3","D","UFA","OTT","31","$0.5","81","30","0.4"
"Connor Dewar                                3","F","UFA","PIT","28","$0.0","78","30","0.4"
"Cam Fowler                                3","D","UFA","STL","35","$0.5","82","30","0.4"
"Parker Wotherspoon                                3","D","UFA","VGK","30","$0.0","80","30","0.4"
"Owen Power                                B","D","LGN","BUF","24","$0.9","81","29","0.4"
"Yegor Sharangovich                                3","F","UFA","CGY","29","$0.7","78","29","0.4"
"Jordan Martinook                                3","F","UFA","CAR","35","$1.5","77","29","0.4"
"Ryan Greene                                3","F","UFA","CHI","23","$0.0","81","29","0.4"
"Pius Suter                                3","F","UFA","STL","31","$0.0","64","29","0.5"
"Jordan Binnington                                3","G","UFA","STL","34","$0.5","41","29","0.7"
"J.J. Moser                                3","D","GVR","TBL","27","$0.5","79","29","0.4"
"Easton Cowan                                A","F","BOT","TOR","22","$0.5","66","29","0.4"
"Rasmus Sandin                                3","D","UFA","WSH","27","$0.8","73","29","0.4"
"Alex Iafallo                                3","F","UFA","WPG","33","$0.5","79","29","0.4"
"J.T. Compher                                3","F","UFA","DET","32","$0.6","82","28","0.3"
"Gustav Forsling                                3","D","UFA","FLA","31","$1.0","80","28","0.4"
"Samuel Ersson                                3","G","UFA","OTT","27","$0.5","33","28","0.8"
"Yanni Gourde                                3","F","UFA","TBL","35","$0.5","82","28","0.3"
"MacKenzie Weegar                                3","D","UFA","UTA","33","$2.4","79","28","0.4"
"Noah Hanifin                                3","D","UFA","VGK","30","$2.2","71","28","0.4"
"Anthony Beauvillier                                3","F","UFA","WSH","30","$0.5","82","28","0.3"
"Noah Ostlund                                A","F","ZSK","BUF","23","$0.5","60","27","0.5"
"Danila Yurov                                A","F","JHN","MIN","23","$0.5","73","27","0.4"
"Jack Drury                                3","F","UFA","NSH","27","$0.5","82","27","0.3"
"Anthony Duclair                                3","F","UFA","NYI","32","$0.6","62","27","0.4"
"Ryan Pulock                                3","D","UFA","NYI","32","$0.5","76","27","0.4"
"Gabe Perreault                                A","F","BOT","NYR","22","$0.5","49","27","0.6"
"Sean Durzi                                3","D","UFA","NYR","28","$1.0","60","27","0.5"
"Shane Wright                                A","F","BOT","SEA","23","$0.9","74","27","0.4"
"Martin Fehervary                                3","D","UFA","WSH","27","$0.0","81","27","0.3"
"Hampus Lindholm                                3","D","UFA","BOS","33","$1.1","67","26","0.4"
"Mason Lohrei                                3","D","UFA","BOS","26","$0.5","73","26","0.4"
"Simon Nemec                                A","D","VPP","CGY","23","$0.8","68","26","0.4"
"Jaden Schwartz                                3","F","UFA","COL","35","$0.5","50","26","0.5"
"Mathieu Olivier                                3","F","UFA","CBJ","30","$0.0","61","26","0.4"
"Daniil Tarasov                                F","G","ZSK","DET","28","$0.5","33","26","0.8"
"Aaron Ekblad                                3","D","UFA","FLA","31","$1.6","72","26","0.4"
"Brady Skjei                                3","D","UFA","NSH","33","$0.9","82","26","0.3"
"Cody Glass                                3","F","UFA","NJD","28","$0.5","70","26","0.4"
"Cam York                                3","D","JHN","PHI","26","$0.5","74","26","0.4"
"Philipp Grubauer                                3","G","UFA","SEA","35","$2.2","32","26","0.8"
"Zeev Buium                                A","D","LGN","VAN","21","$0.7","76","26","0.3"
"Braeden Bowman                                3","F","UFA","VGK","24","$0.0","54","26","0.5"
"Louis Crevier                                3","D","UFA","BUF","26","$0.0","78","25","0.3"
"Jonathan Huberdeau                                3","F","MAC","CGY","34","$0.5","50","25","0.5"
"Connor Zary                                C","F","SRL","CGY","25","$0.5","74","25","0.3"
"Nicolas Roy                                3","F","UFA","COL","30","$0.5","74","25","0.3"
"Simon Edvinsson                                B","D","LGN","DET","24","$0.5","72","25","0.3"
"Joel Armia                                3","F","UFA","LAK","34","$0.6","67","25","0.4"
"Alex Newhook                                3","F","UFA","MTL","26","$0.5","42","25","0.6"
"Noel Acciari                                3","F","UFA","PHI","35","$0.0","67","25","0.4"
"Andrei Kuzmenko                                3","F","UFA","PIT","31","$0.6","52","25","0.5"
"Adam Gaudette                                3","F","UFA","SJS","30","$0.0","66","25","0.4"
"Adam Larsson                                3","D","UFA","SEA","34","$0.5","82","25","0.3"
"Jake McCabe                                3","D","UFA","TOR","33","$0.0","80","25","0.3"
"Barrett Hayton                                3","F","UFA","UTA","27","$0.8","67","25","0.4"
"Jack McBain                                3","F","UFA","UTA","27","$0.0","75","25","0.3"
"Artyom Levshunov                                A","D","JHN","CHI","21","$0.8","68","24","0.4"
"Devon Toews                                3","D","VPP","COL","33","$2.4","68","24","0.4"
"Jake Evans                                3","F","UFA","MTL","31","$0.0","68","24","0.4"
"Ross Colton                                3","F","UFA","NSH","31","$0.5","73","24","0.3"
"Noah Laba                                3","F","UFA","NYR","24","$0.0","74","24","0.3"
"Darnell Nurse                                3","D","UFA","SJS","32","$0.8","82","24","0.3"
"Eric Comrie                                3","G","UFA","SJS","32","$0.0","25","24","1.0"
"Ethen Frank                                3","F","UFA","WSH","29","$0.0","62","24","0.4"
"Ian Cole                                3","D","UFA","CHI","38","$0.6","82","23","0.3"
"Drew Doughty                                3","D","UFA","LAK","37","$1.6","72","23","0.3"
"Joel Edmundson                                3","D","UFA","LAK","34","$0.0","82","23","0.3"
"Yakov Trenin                                3","F","UFA","MIN","30","$0.0","82","23","0.3"
"Josh Anderson                                3","F","UFA","MTL","33","$0.0","72","23","0.3"
"Justus Annunen                                E","G","LPT","NSH","27","$0.5","28","23","0.8"
"Nick Cousins                                3","F","UFA","OTT","34","$0.0","81","23","0.3"
"Kailer Yamamoto                                3","F","UFA","UTA","28","$0.0","59","23","0.4"
"Brendan Gallagher                                3","F","UFA","VAN","35","$0.5","77","23","0.3"
"Adin Hill                                3","G","UFA","VGK","31","$1.0","27","23","0.9"
"Morgan Barron                                3","F","UFA","WPG","28","$0.0","65","23","0.4"
"Mario Ferraro                                3","D","UFA","WPG","28","$0.0","82","23","0.3"
"Pavel Mintyukov                                A","D","ZSK","ANA","23","$0.5","73","22","0.3"
"Tanner Jeannot                                3","F","UFA","BOS","30","$0.0","77","22","0.3"
"Mark Kastelic                                3","F","UFA","BOS","28","$0.0","82","22","0.3"
"Sean Kuraly                                3","F","UFA","BOS","34","$0.0","82","22","0.3"
"Nikita Zadorov                                3","D","UFA","BOS","32","$0.5","81","22","0.3"
"Olen Zellweger                                B","D","ZSK","BUF","24","$0.5","76","22","0.3"
"Kent Johnson                                B","F","ZSK","CBJ","24","$0.7","76","22","0.3"
"Jared Spurgeon                                3","D","UFA","MIN","37","$0.5","79","22","0.3"
"Alexandre Carrier                                3","D","UFA","MTL","30","$0.5","73","22","0.3"
"Tye Kartye                                3","F","UFA","NYR","26","$0.0","64","22","0.3"
"Jonatan Berggren                                3","F","UFA","STL","27","$0.5","51","22","0.4"
"Pontus Holmberg                                3","F","UFA","TBL","28","$0.0","70","22","0.3"
"Jonas Johansson                                3","G","UFA","TBL","31","$0.0","25","22","0.9"
"Nate Schmidt                                3","D","UFA","UTA","36","$0.5","82","22","0.3"
"Kevin Lankinen                                3","G","UFA","VAN","32","$0.0","47","22","0.5"
"Brett Howden                                3","F","UFA","VGK","29","$0.5","58","22","0.4"
"Carter Hart                                3","G","UFA","VGK","29","$0.0","18","22","1.2"
"Ryan Strome                                3","F","UFA","CGY","34","$0.7","52","21","0.4"
"Mark Jankowski                                3","F","UFA","CAR","33","$0.0","68","21","0.3"
"Alex Vlasic                                3","D","UFA","CHI","26","$0.0","81","21","0.3"
"Axel Sandin-Pellikka                                A","D","JHN","DET","22","$0.5","68","21","0.3"
"Alexandre Texier                                3","F","UFA","MTL","28","$0.0","51","21","0.4"
"Jacob Fowler                                A","G","LGN","MTL","22","$0.6","17","21","1.2"
"Michael Misa                                A","F","JHN","SJS","20","$0.9","45","21","0.5"
"Dalibor Dvorsky                                A","F","JHN","STL","22","$0.7","71","21","0.3"
"Ryan McDonagh                                3","D","UFA","TBL","38","$0.6","48","21","0.4"
"Tom Willander                                A","D","LPT","VAN","22","$0.5","70","21","0.3"
"Nic Dowd                                3","F","UFA","VGK","37","$0.0","75","21","0.3"
"Charlie Lindgren                                3","G","UFA","WSH","33","$0.6","21","21","1.0"
"Adam Lowry                                3","F","UFA","WPG","34","$0.0","70","21","0.3"
"Ville Husso                                3","G","UFA","ANA","32","$2.3","20","20","1.0"
"Matvei Gridin                                A","F","JHN","CGY","21","$0.5","37","20","0.5"
"Devin Cooley                                3","G","UFA","CGY","30","$0.0","31","20","0.6"
"Jake Walman                                3","D","SRL","EDM","31","$1.2","53","20","0.4"
"Scott Laughton                                3","F","UFA","LAK","33","$0.0","64","20","0.3"
"Mikey Anderson                                3","D","UFA","LAK","28","$0.0","80","20","0.3"
"Samuel Montembeault                                3","G","UFA","MTL","30","$0.0","25","20","0.8"
"Zemgus Girgensons                                3","F","UFA","TBL","33","$0.8","74","20","0.3"
"Anthony Stolarz                                3","G","UFA","TOR","33","$1.8","26","20","0.8"
"Colten Ellis                                3","G","UFA","BUF","26","$0.0","16","19","1.2"
"Oliver Moore                                A","F","LGN","CHI","22","$0.5","51","19","0.4"
"Arvid Soderblom                                3","G","UFA","CHI","28","$0.0","26","19","0.7"
"Marco Kasper                                A","F","SRL","DET","23","$0.5","81","19","0.2"
"Taylor Raddysh                                3","F","UFA","NYR","29","$0.5","68","19","0.3"
"Blake Lizotte                                3","F","UFA","PIT","29","$0.0","55","19","0.3"
"Samuel Girard                                3","D","UFA","PIT","29","$0.5","60","19","0.3"
"Igor Chernyshov                                A","F","ZSK","SJS","21","$0.5","28","19","0.7"
"Max Sasson                                3","F","UFA","VAN","27","$0.0","66","19","0.3"
"Thatcher Demko                                3","G","UFA","VAN","31","$3.0","20","19","1.0"
"Pierre-Luc Dubois                                3","F","UFA","WSH","29","$1.8","29","19","0.7"
"Matt Roy                                3","D","UFA","WSH","32","$0.5","79","19","0.2"
"Nino Niederreiter                                3","F","UFA","WPG","35","$0.5","61","19","0.3"
"Dylan DeMelo                                3","D","UFA","WPG","34","$0.0","82","19","0.2"
"Michael Eyssimont                                3","F","UFA","BOS","31","$0.0","56","18","0.3"
"Conor Sheary                                3","F","UFA","BUF","35","$0.0","62","18","0.3"
"Adam Klapka                                3","F","UFA","CGY","27","$0.0","79","18","0.2"
